id;ticket_externo;estado;abierto_en;primera_respuesta_en;resuelto_en;cumplio_sla;motivo_rechazo;responsable_resuelto;nivel_resuelto;hubo_cobertura;notas;servicio_de_proveedor_id
1;enormously vibration;RECHAZADO;2023-12-04T21:31:55;2023-12-04T05:52:40;2023-12-04T15:25:27;true;wonderfully dowse;hydrant inhibit brr;PRIMARIO;true;pace far;1
2;spattering so;ESPERANDO_PROVEEDOR;2023-12-04T03:30:55;2023-12-04T03:33:08;2023-12-04T10:08:41;false;ah mysteriously obligation;slight trench phew;PRIMARIO;true;ugh justly whoever;2
3;through;ESPERANDO_PROVEEDOR;2023-12-04T21:08:36;2023-12-04T03:48:50;2023-12-04T08:25:42;true;executor cripple;bid astride but;PRIMARIO;true;before swim during;3
4;beyond but knit;RESUELTO;2023-12-04T21:17:56;2023-12-04T21:17:37;2023-12-04T20:13:55;false;extremely lest;indelible;PRIMARIO;false;although;4
5;defrag;RECHAZADO;2023-12-04T02:20:54;2023-12-04T12:33:25;2023-12-04T04:42:45;true;archaeology;quaver ugly;SECUNDARIO;false;yuck;5
6;boo;ABIERTO;2023-12-04T10:15:11;2023-12-04T13:44:09;2023-12-04T20:57:01;false;certification indeed wrongly;bleakly excluding substantial;SECUNDARIO;false;disapprove;6
7;following;ESPERANDO_PROVEEDOR;2023-12-04T14:28:27;2023-12-03T23:16:53;2023-12-04T11:26:26;false;aboard analogy;promise;PRIMARIO;false;sternly cosset;7
8;hovercraft up grass;RECHAZADO;2023-12-04T21:43:22;2023-12-04T00:00:00;2023-12-04T04:12:28;true;excluding;carelessly yahoo;SECUNDARIO;false;than;8
9;clonk;RESUELTO;2023-12-04T11:47:18;2023-12-04T03:49:41;2023-12-04T12:04:54;true;unfortunately quaintly;instead;PRIMARIO;true;splay negligible near;9
10;good;ESPERANDO_PROVEEDOR;2023-12-04T12:04:53;2023-12-04T06:22:10;2023-12-04T11:17:47;false;golden plus oddly;though;PRIMARIO;false;handsome;10
11;ick;RESUELTO;2023-12-04T14:48:27;2023-12-04T10:17:02;2023-12-04T16:06:22;true;ick;sarcastic floss;PRIMARIO;false;an ignorance;11
12;unearth majestic design;CANCELADO;2023-12-04T02:17:19;2023-12-04T22:30:52;2023-12-04T02:45:09;false;with;svelte maul lest;SECUNDARIO;true;qua when sheepishly;12
13;violent direct anesthetize;ABIERTO;2023-12-04T19:35:52;2023-12-04T02:53:43;2023-12-04T04:08:44;true;lecture mechanic;knowledgeable;SECUNDARIO;true;institutionalize;13
14;now twin;RESUELTO;2023-12-04T01:50:52;2023-12-04T12:10:50;2023-12-04T13:01:35;true;steel sate;gently but;PRIMARIO;false;doing;14
15;platypus;CANCELADO;2023-12-03T23:22:13;2023-12-04T16:01:55;2023-12-04T06:24:06;false;oh moment;ugh scarper;SECUNDARIO;false;or whereas utter;15
16;inject chasuble preheat;ESPERANDO_PROVEEDOR;2023-12-04T04:47:03;2023-12-04T01:16:03;2023-12-04T07:34:38;false;yuck fooey elementary;louse save coolly;PRIMARIO;true;writ;16
17;glisten;ABIERTO;2023-12-04T15:46:16;2023-12-03T23:26:58;2023-12-04T17:37:51;true;unto;climb grounded psst;SECUNDARIO;false;because speedily;17
18;inside;ESPERANDO_PROVEEDOR;2023-12-04T17:53:25;2023-12-04T04:23:14;2023-12-04T21:59:36;true;whether zowie accidentally;yawningly now;SECUNDARIO;false;hence;18
19;huzzah overconfidently;RESUELTO;2023-12-04T19:52:53;2023-12-04T06:48:08;2023-12-04T15:01:33;false;definitive polarisation;accomplished unless;SECUNDARIO;true;when march;19
20;hornet;ABIERTO;2023-12-04T09:57:49;2023-12-04T12:52:25;2023-12-04T10:49:02;false;strictly decision hungrily;really manage aw;SECUNDARIO;false;sprinkles;20
21;amidst;RESUELTO;2023-12-04T18:40:15;2023-12-04T13:41:46;2023-12-04T19:38:16;false;super;after mmm;PRIMARIO;false;dock;21
22;mmm because grimy;ABIERTO;2023-12-04T16:31:20;2023-12-04T05:05:31;2023-12-04T22:33:09;true;webbed proofread;which;SECUNDARIO;false;to demobilise;22
23;knight;ABIERTO;2023-12-03T22:55:48;2023-12-04T05:17:46;2023-12-04T06:29:58;false;materialise unlike;circa wheel yahoo;PRIMARIO;true;meh kosher through;23
24;partially ick;RECHAZADO;2023-12-04T01:04:34;2023-12-04T18:10:12;2023-12-04T04:00:38;true;yippee;annually drat;PRIMARIO;false;on ick till;24
25;pertinent marathon;ESPERANDO_PROVEEDOR;2023-12-04T10:58:06;2023-12-04T16:45:12;2023-12-04T08:03:13;false;of hungrily;gee forenenst;PRIMARIO;false;blowgun mid dimly;25
26;lest phew;ABIERTO;2023-12-04T16:57:29;2023-12-04T10:27:15;2023-12-04T19:45:18;false;likewise;smog bah;PRIMARIO;false;ugh finally shakily;26
27;stingy rekindle;ESPERANDO_PROVEEDOR;2023-12-04T14:05:24;2023-12-04T21:59:02;2023-12-04T07:06:32;false;thankfully;since at;SECUNDARIO;true;till;27
28;reprove out as;ESPERANDO_PROVEEDOR;2023-12-04T02:08:17;2023-12-03T23:14:32;2023-12-04T00:25:14;true;er zowie er;creak with lest;PRIMARIO;false;newsprint;28
29;stealthily ideal;RECHAZADO;2023-12-04T05:16:40;2023-12-04T10:44:27;2023-12-04T06:50:36;true;meanwhile;above;SECUNDARIO;true;yowza;29
30;unconscious nervously meh;ESPERANDO_PROVEEDOR;2023-12-04T22:32:57;2023-12-04T06:22:48;2023-12-04T03:17:07;true;while instantly whoever;velocity stained;PRIMARIO;true;zowie oxygenate;30
