id;nombre;tipo;zona_horaria;telefono_contacto;email_contacto;url_soporte;url_estado;cobertura;sla_respuesta_minutos;activo
1;jaggedly accomplished;CDN;consequently essay modulo;scholarship;silt;above;neatly versus;HORARIO_HABIL;759;false
2;viciously;OBSERVABILIDAD;wherever entice;provided gee;noisily;anenst vice apropos;quarrel boohoo unless;SOLO_CRITICO;9072;false
3;shirk monocle;CDN;than that;boiling unless gray;stack;eek;climb milky vice;SOLO_CRITICO;2778;true
4;above;NUBE;e-mail hmph opposite;runway illiterate but;where deployment reclassify;unblinking;charming stitcher thread;VEINTICUATRO_SIETE;8109;false
5;cellar;OTRO;for if;cheese gee;ack incomparable;frivolous since;amongst;VEINTICUATRO_SIETE;7985;false
6;although;CORREO;as but;minus ew;yearningly record hourly;vamoose;within gee menacing;VEINTICUATRO_SIETE;9149;false
7;ring likewise;NUBE;lightly;woot hornet;merrily;before wherever;blah duh;VEINTICUATRO_SIETE;5724;false
8;pish for holster;CORREO;permafrost kiddingly so;boohoo up absent;cleverly bitter;humor;drat equally procrastinate;HORARIO_HABIL;4507;true
9;where psst persecute;OBSERVABILIDAD;up wide;covenant summary;er certainly through;impure;on technologist who;SOLO_CRITICO;8526;false
10;object hollow;OBSERVABILIDAD;blissfully;plus;taro unused;overcook immaculate whoever;psst once;SOLO_CRITICO;4478;false
11;actually pip;PAGOS;through bend;supportive worth;during which opposite;above before;even mobility;VEINTICUATRO_SIETE;2338;true
12;onset elderly er;NUBE;vivid;crowded availability next;hutch;tame during blissfully;divine;VEINTICUATRO_SIETE;25;true
13;vanish like slake;NUBE;supposing reboot;immediately card;geez fireplace vaguely;inasmuch across schlep;before which brr;HORARIO_HABIL;6489;false
14;splosh kookily;CDN;jovially gracefully repeatedly;naughty;uh-huh;moisten or;because self-assured instead;HORARIO_HABIL;4838;true
15;task;CDN;dull ouch;bliss;fishery yuck;breed;unto;VEINTICUATRO_SIETE;9509;false
16;council;NUBE;dissemble fluffy papa;apud;haze glider pace;weekly;the silently;VEINTICUATRO_SIETE;6134;true
17;federate right uh-huh;PAGOS;youthfully;cleaner unfurl;trained guilty versus;if once;busily hm;VEINTICUATRO_SIETE;4040;true
18;cheerfully huff meanwhile;CDN;nougat gosh;wherever;exactly;massage yowza trusting;harangue after;SOLO_CRITICO;6035;false
19;diversity;PAGOS;gradient hungrily colorfully;mispronounce retract schematise;oblong chops;ultimately;dense while state;SOLO_CRITICO;1962;false
20;ew;OTRO;yet faithfully pfft;boo unruly;know yippee bah;tune;battle defenseless;HORARIO_HABIL;9788;true
21;oof upon pupil;CDN;awkwardly lest truly;that instead;gently;ha amid dreamily;wilt shush bony;SOLO_CRITICO;9296;true
22;publicity delight;NUBE;but apud;summarise conceal;transparency upliftingly;indeed;aha overplay of;SOLO_CRITICO;4299;false
23;anti;CDN;woot;before record the;pfft above;spice skeleton gnaw;jacket yellowish;SOLO_CRITICO;2338;true
24;well;CORREO;woot;yahoo institute;generously;considering;if;VEINTICUATRO_SIETE;5473;true
25;parody unfortunately however;CDN;jubilantly;lest nifty fortunately;yippee;youthful;why pish but;HORARIO_HABIL;994;true
26;what valiantly brook;NUBE;oh toward;unless restfully;pro accidentally;toothpick;retrospectivity;SOLO_CRITICO;1343;false
27;before eternity;OBSERVABILIDAD;rationale minus briefly;woot yet uh-huh;speedily since;alongside;chase;HORARIO_HABIL;7861;false
28;self-assured honestly opposite;NUBE;whereas;straight supposing handover;ick mould meanwhile;humidity incomparable after;scenario absent censor;SOLO_CRITICO;8551;false
29;provided quit transparency;CDN;gosh;ah;obscure degrease nerve;apricot;consequently indelible;SOLO_CRITICO;2066;false
30;suddenly whereas fit;CDN;who;healthily;lest pish mousse;upward commonly;consequently;HORARIO_HABIL;5700;true
