id;nombre;identificador_externo;descripcion;sla_respuesta_minutos;activo;proveedor_id
1;an represent;orchid guide;oh though without;8763;true;1
2;devastation;apropos inject;like bravely ha;8666;true;2
3;aha;teammate multicolored tremendously;notwithstanding worth icy;6434;false;3
4;scarper intellect worth;aha lazily;gee cutover;8591;false;4
5;wicked;posh throughout;furthermore;3947;false;5
6;fax;why;runny yahoo fooey;197;false;6
7;softly famously;uncommon elegantly lest;grok steep westernise;8660;true;7
8;ha entwine penalise;quiet about mechanically;if acclaimed;3673;false;8
9;yowza loosely;astride sometimes;convalesce;3417;false;9
10;accompany;once worriedly provided;wise;421;true;10
11;overtrain knowingly informal;deliquesce lovingly miserably;stool;5189;false;11
12;phew appropriate worriedly;boohoo;helpfully;8020;true;12
13;rapid enroll disclosure;tune-up;unto;7203;false;13
14;lest failing off;ouch than;pro ack phooey;7468;true;14
15;acclaimed tough likewise;above;justly glass athwart;9134;true;15
16;how oh;perp forenenst buck;sudden skyscraper upon;3375;true;16
17;perfectly since forgather;anxiously ponder;nor;1053;true;17
18;boulevard fatal than;apud yet since;singing;8121;true;18
19;ack;instead;talkative anxiously to;967;true;19
20;if executor;label;smog firm hospitable;1649;false;20
21;relaunch formal;anti ew;aha hmph solidly;1107;true;21
22;knottily;worthy;so geez;2636;false;22
23;yuck handsome ouch;whose;meanwhile;6790;false;23
24;outrun;besides yet;damp;7222;true;24
25;whether;bind;kiddingly babushka shakily;1611;true;25
26;throbbing sentimental;thoroughly;reproachfully irritably amendment;2453;false;26
27;scotch excepting;dismal via;furthermore;1235;false;27
28;bakeware zowie;gently furthermore brochure;whose account archive;6114;false;28
29;anxiously;excluding supposing;alongside biodegradable below;3340;false;29
30;boohoo likewise among;commemorate coagulate overfeed;materialise sentimental mid;6736;false;30
