id;desde;hasta;nivel;es_reemplazo;nota;contacto_id
1;2023-12-04T07:35:54;2023-12-04T06:30:47;SECUNDARIO;false;detective gosh fairly;1
2;2023-12-04T13:34:30;2023-12-04T10:39:33;PRIMARIO;true;range willing than;2
3;2023-12-04T00:38:03;2023-12-03T23:55:43;PRIMARIO;false;young elliptical um;3
4;2023-12-04T09:54:36;2023-12-04T02:02:43;SECUNDARIO;false;so following;4
5;2023-12-04T10:13:49;2023-12-04T11:36:23;SECUNDARIO;false;eek reservation subexpression;5
6;2023-12-03T23:43:52;2023-12-04T18:36:20;SECUNDARIO;true;complication;6
7;2023-12-04T19:39:46;2023-12-04T17:17:57;PRIMARIO;false;ugh yippee slake;7
8;2023-12-04T02:34:20;2023-12-04T16:29:05;SECUNDARIO;false;determined across;8
9;2023-12-04T21:28:56;2023-12-04T06:49:34;PRIMARIO;false;goodwill gah;9
10;2023-12-04T15:55:46;2023-12-04T14:49:49;SECUNDARIO;true;difficult golden before;10
11;2023-12-04T03:05:34;2023-12-04T16:09:24;PRIMARIO;true;railway;11
12;2023-12-04T04:08:25;2023-12-04T02:08:29;PRIMARIO;true;regarding;12
13;2023-12-04T15:11:39;2023-12-04T11:20:12;PRIMARIO;false;motionless;13
14;2023-12-04T03:29:26;2023-12-04T10:59:14;PRIMARIO;true;till since lovely;14
15;2023-12-04T02:24:04;2023-12-04T01:49:04;SECUNDARIO;false;gently substitution majestic;15
16;2023-12-04T02:28:27;2023-12-03T23:26:59;SECUNDARIO;false;airman;16
17;2023-12-04T15:28:40;2023-12-04T01:00:09;PRIMARIO;true;why jam-packed white;17
18;2023-12-04T16:14:51;2023-12-04T05:33:47;SECUNDARIO;true;minus wound;18
19;2023-12-04T01:28:43;2023-12-04T16:30:32;SECUNDARIO;true;that when;19
20;2023-12-04T03:37:01;2023-12-04T17:05:26;SECUNDARIO;true;a rewrite;20
21;2023-12-04T03:06:57;2023-12-04T15:30:20;PRIMARIO;false;who hmph toward;21
22;2023-12-04T11:02:02;2023-12-04T15:14:32;PRIMARIO;true;graceful excluding;22
23;2023-12-04T01:19:46;2023-12-04T00:16:18;SECUNDARIO;false;nicely downshift;23
24;2023-12-03T23:29:21;2023-12-04T05:24:10;PRIMARIO;false;sustenance;24
25;2023-12-04T15:48:11;2023-12-04T05:07:32;PRIMARIO;false;vice galoshes but;25
26;2023-12-04T17:08:41;2023-12-03T23:01:14;SECUNDARIO;false;at daily;26
27;2023-12-04T22:16:47;2023-12-04T14:07:16;PRIMARIO;true;mill;27
28;2023-12-04T07:51:21;2023-12-04T12:37:14;PRIMARIO;false;sociable quicker;28
29;2023-12-04T10:36:33;2023-12-04T12:20:36;SECUNDARIO;false;obesity ignite;29
30;2023-12-04T19:02:18;2023-12-04T05:53:52;SECUNDARIO;false;slink aboard;30
